Time(s)          Coverage     AppNum      
1681972064       3590         2           
1681973864       4012         13          
1681975664       4069         30          
1681977464       4281         50          
1681979264       4416         69          
1681981064       5002         89          
1681982864       5105         109         
1681984664       5180         128         
1681986464       5199         148         
1681988264       5294         167         
1681990064       5744         184         
1681991864       5819         202         
1681993664       6102         220         
1681995464       7132         233         
1681997264       7561         250         
1681999064       8126         271         
1682000864       8207         298         
1682002664       8363         316         
1682004464       8370         336         
1682006264       8846         353         
1682008064       8999         372         
1682009864       9139         392         
1682011664       9367         408         
1682013464       9571         429         
1682015264       9704         449         
1682017064       9852         467         
1682018864       10096        484         
1682020664       10110        504         
1682022464       10162        524         
1682024264       10310        543         
1682026064       10483        561         
1682027864       10600        585         
1682029664       10691        604         
1682031464       10846        622         
1682033264       10914        641         
1682035064       10942        660         
1682036864       10966        679         
1682038664       11064        705         
1682040464       11331        721
