Time(s)          Coverage     AppNum      
1681972069       3679         2           
1681973869       4012         10          
1681975669       4019         25          
1681977469       4200         42          
1681979269       4372         61          
1681981069       4794         79          
1681982869       5041         92          
1681984669       5109         111         
1681986469       5178         128         
1681988269       5197         148         
1681990069       5269         166         
1681991869       5564         180         
1681993669       5593         196         
1681995469       5676         211         
1681997269       7136         225         
1681999069       7152         239         
1682000869       7759         258         
1682002669       7882         274         
1682004469       7926         295         
1682006269       8081         312         
1682008069       8086         329         
1682009869       8157         346         
1682011669       8567         362         
1682013469       8856         379         
1682015269       8872         396         
1682017069       9113         411         
1682018869       9315         426         
1682020669       9449         445         
1682022469       9487         464         
1682024269       9597         481         
1682026069       9853         496
