Time(s)          Coverage     AppNum      
1681972068       3590         2           
1681973868       3939         10          
1681975668       4066         30          
1681977468       4279         49          
1681979268       4645         69          
1681981068       5032         87          
1681982868       5112         108         
1681984668       5183         127         
1681986468       5267         147         
1681988268       5298         167         
1681990068       5584         182         
1681991868       5674         201         
1681993668       6932         218         
1681995468       6984         233         
1681997268       7611         254         
1681999068       7757         283         
1682000868       7916         302         
1682002668       7923         321         
1682004468       8391         338         
1682006268       8563         358         
1682008068       8703         377         
1682009868       8939         393         
1682011668       9148         413         
1682013468       9282         433         
1682015268       9422         451         
1682017068       9678         469         
1682018868       9691         488         
1682020668       9745         508         
1682022468       9892         528         
1682024268       10077        544         
1682026068       10193        566
