Time(s)          Coverage     AppNum      
1681972069       3592         2           
1681973869       4009         12          
1681975669       4067         31          
1681977469       4293         50          
1681979269       4658         69          
1681981069       5008         86          
1681982869       5116         107         
1681984669       5185         127         
1681986469       5270         146         
1681988269       5300         166         
1681990069       5754         182         
1681991869       5840         201         
1681993669       6108         220         
1681995469       7123         234         
1681997269       7276         252         
1681999069       7820         279         
1682000869       7938         299         
1682002669       8021         315         
1682004469       8087         336         
1682006269       8500         352         
1682008069       8757         372         
1682009869       8793         390         
1682011669       9021         408         
1682013469       9223         427         
1682015269       9357         446         
1682017069       9395         467         
1682018869       9754         484         
1682020669       9767         504         
1682022469       9820         524         
1682024269       9966         542         
1682026069       10139        560         
1682027869       10234        579         
1682029669       10288        594         
1682031469       10353        613         
1682033269       10514        629         
1682035069       10584        648         
1682036869       10610        667         
1682038669       10671        686         
1682040469       10736        710         
1682042269       10908        729         
1682044069       10925        748         
1682045869       10964        768         
1682047669       12063        793         
1682049469       12088        813         
1682051269       12116        834         
1682053069       12370        846         
1682054869       12421        863         
1682056669       12506        883         
1682058469       12557        902         
1682060269       12856        920         
1682062069       13007        938         
1682063869       13081        956         
1682065669       13349        970         
1682067469       13362        990         
1682069269       13685        1009        
1682071069       13804        1029        
1682072869       13841        1048        
1682074669       14295        1063        
1682076469       14381        1080        
1682078269       14454        1099        
1682080069       14465        1118        
1682081869       14500        1138        
1682083669       14512        1156        
1682085469       14520        1176        
1682087269       14807        1199        
1682089069       14827        1218        
1682090869       14838        1236        
1682092669       14882        1256        
1682094469       14920        1273        
1682096269       15109        1288        
1682098069       15134        1308        
