Time(s)          Coverage     AppNum      
1681972064       3668         2           
1681973864       4008         14          
1681975664       4063         32          
1681977464       4280         52          
1681979264       4646         71          
1681981064       5145         89          
1681982864       5252         109         
1681984664       5329         127         
1681986464       5412         148         
1681988264       5445         167         
1681990064       5753         182         
1681991864       5829         201         
1681993664       6112         220         
1681995464       6971         235         
1681997264       7517         255         
1681999064       7687         286         
1682000864       7852         306         
1682002664       7858         324         
1682004464       8325         342         
1682006264       8382         359         
1682008064       8633         379         
1682009864       8869         397         
1682011664       8886         416         
1682013464       9103         435         
1682015264       9232         456         
1682017064       9370         474         
1682018864       9629         491         
1682020664       9673         512         
1682022464       9693         531         
1682024264       9867         550         
1682026064       10028        566         
1682027864       10166        593         
1682029664       10231        612         
1682031464       10306        631         
1682033264       10394        649         
1682035064       10424        670         
1682036864       10501        692         
1682038664       10764        709         
1682040464       10774        730         
1682042264       10784        749         
1682044064       11976        769         
1682045864       12051        796         
1682047664       12079        817         
1682049464       12295        832         
1682051264       12342        861         
1682053064       12427        880         
1682054864       12479        900         
1682056664       12782        918         
1682058464       12936        935         
1682060264       13183        953         
1682062064       13284        971         
1682063864       13483        990         
1682065664       13636        1009        
1682067464       13764        1026        
1682069264       14231        1046        
1682071064       14560        1058        
1682072864       14620        1075        
1682074664       14696        1095        
1682076464       14702        1116        
1682078264       14743        1133        
1682080064       14751        1153        
1682081864       14764        1177        
1682083664       14972        1190        
1682085464       14992        1209        
1682087264       15005        1228        
1682089064       15047        1247        
1682090864       15113        1262        
1682092664       15280        1277        
1682094464       15319        1297        
1682096264       15396        1317        
1682098064       15456        1336        
