Time(s)          Coverage     AppNum      
1682270551       3609         2           
1682272351       5249         137         
1682274151       8338         275         
1682275951       9589         423         
1682277751       10363        570         
1682279551       12085        726         
1682281351       13783        845         
1682283151       14079        981         
1682284951       14776        1123        
1682286751       16011        1250        
1682288551       17621        1381        
1682290351       19710        1506        
1682292151       21279        1562        
1682293951       22583        1674        
1682295751       23880        1813        
1682297551       25449        1953        
1682299351       26304        2085        
1682301151       26981        2230        
1682302951       27833        2384        
1682304751       28485        2538        
1682306551       29032        2685        
1682308351       29393        2837        
1682310151       29978        2984        
Time(s)          Coverage     AppNum      
1682310993       3695         2           
1682312793       5182         135         
1682314593       7813         271         
Time(s)          Coverage     AppNum      
1682316403       3653         2           
1682318203       5117         137         
1682320003       7492         275         
1682321803       8910         425         
1682323603       9839         563         
1682325403       10445        722         
1682327203       12123        876         
1682329003       13282        1016        
1682330803       13604        1164        
1682332603       14085        1308        
1682334403       14617        1454        
1682336203       15793        1591        
1682338003       16613        1727        
1682339803       17676        1870        
1682341603       19652        1989        
1682343403       21173        2052        
1682345203       21854        2193        
1682347003       23452        2334        
1682348803       24262        2481        
1682350603       24952        2625        
1682352403       25643        2768        
1682354203       26082        2895        
1682356003       26532        3044        
1682357803       26877        3198        
1682359603       27135        3355        
1682361403       28110        3508        
1682363203       28402        3661        
1682365003       28780        3814        
1682366803       29027        3966        
1682368603       29378        4107        
1682370403       29880        4261        
1682372203       30647        4409        
1682374003       30972        4563        
1682375803       31819        4708        
1682377603       32205        4855        
Time(s)          Coverage     AppNum      
1682378136       3615         2           
1682379936       5106         135         
1682381736       7388         281         
1682383536       8473         432         
1682385336       9421         584         
1682387136       10145        734         
1682388936       11712        889         
1682390736       12572        1041        
1682392536       13379        1177        
1682394336       13705        1327        
1682396136       14072        1465        
1682397936       14610        1607        
1682399736       15290        1754        
1682401536       16034        1892        
1682403336       16877        2031        
1682405136       17656        2185        
1682406936       18051        2339        
1682408736       20572        2419        
1682410536       21009        2557        
1682412336       21791        2698        
1682414136       22654        2840        
1682415936       23613        2982        
1682417736       24254        3134        
1682419536       24615        3277        
1682421336       25174        3432        
1682423136       25890        3576        
1682424936       26176        3686        
1682426736       26448        3836        
1682428536       26881        3987        
1682430336       27124        4144        
1682432136       27302        4297        
1682433936       28233        4450        
1682435736       28468        4607        
1682437536       28639        4762        
1682439336       28911        4918        
1682441136       29146        5074        
1682442936       29317        5226        
1682444736       29578        5372        
1682446536       30021        5523        
1682448336       30431        5672        
1682450136       31021        5821        
1682451936       31230        5974        
1682453736       31530        6131        
1682455536       32154        6278        
1682457336       32418        6428        
1682459136       33583        6570        
1682460936       33939        6723        
1682462736       34346        6860        
1682464536       34903        7012        
1682466336       35194        7164        
1682468136       35552        7315        
1682469936       35658        7423        
1682471736       35905        7554        
1682473536       35915        7703        
