Time(s)          Coverage     AppNum      
1682270517       3510         2           
1682272317       4009         11          
1682274117       4167         30          
1682275917       4409         50          
1682277717       4985         69          
1682279517       5106         88          
1682281317       5193         107         
1682283117       5266         127         
1682284917       5538         146         
1682286717       5655         161         
1682288517       5942         179         
1682290317       7375         190         
1682292117       8050         210         
1682293917       8246         235         
1682295717       8328         253         
1682297517       8400         272         
1682299317       8838         289         
1682301117       9094         309         
1682302917       9323         326         
1682304717       9528         345         
1682306517       9668         365         
1682308317       9806         382         
1682310117       10062        400         
1682311917       10116        420         
1682313717       10263        439         
1682315517       10436        455         
1682317317       10773        475         
1682319117       10857        494         
1682320917       10950        511         
1682322717       11060        528         
1682324517       11090        548         
1682326317       11193        573         
1682328117       11452        588         
1682329917       11470        608         
1682331717       12312        627         
1682333517       12385        651         
1682335317       12414        672         
1682337117       12646        683         
1682338917       12699        710         
1682340717       12821        730         
1682342517       13095        747         
1682344317       13252        763         
1682346117       13584        778         
1682347917       13599        797         
1682349717       13935        816         
1682351517       14090        834         
1682353317       14557        850         
1682355117       14634        869         
1682356917       14714        889         
1682358717       14743        908         
1682360517       14753        928         
1682362317       14965        946         
1682364117       14995        965         
1682365917       15008        984         
1682367717       15095        1001        
1682369517       15287        1018        
1682371317       15516        1032        
1682373117       15595        1050        
1682374917       15644        1069        
1682376717       15707        1087        
1682378517       15803        1109        
1682380317       15977        1126        
1682382117       16062        1145        
1682383917       16115        1165        
1682385717       16222        1183        
1682387517       16368        1198        
1682389317       16797        1218        
1682391117       16988        1234        
1682392917       17235        1254        
1682394717       17453        1269        
1682396517       17568        1287        
1682398317       17877        1302        
1682400117       18004        1315        
1682401917       18122        1335        
1682403717       18242        1354        
1682405517       18732        1372        
1682407317       18803        1390        
1682409117       18960        1409        
1682410917       19060        1429        
1682412717       19221        1449        
1682414517       19297        1469        
1682416317       19348        1488        
1682418117       21083        1506        
1682419917       22422        1506        
1682421717       22635        1506        
1682423517       22820        1520        
1682425317       23096        1536        
1682427117       23215        1553        
1682428917       23403        1569        
1682430717       23585        1587        
1682432517       23700        1602        
1682434317       24102        1622        
1682436117       24407        1633        
1682437917       24564        1650        
1682439717       24791        1669        
1682441517       24957        1688        
1682443317       25603        1704        
1682445117       25680        1723        
1682446917       25852        1742        
1682448717       25898        1762        
1682450517       26312        1779        
1682452317       26432        1799        
1682454117       26502        1818        
1682455917       26574        1839        
1682457717       26649        1857        
1682459517       26877        1873        
1682461317       27129        1893        
1682463117       27193        1912        
1682464917       27341        1931        
1682466717       27438        1951        
1682468517       27714        1971        
1682470317       27803        1989        
1682472117       28108        2008        
1682473917       28138        2025        
