Time(s)          Coverage     AppNum      
1682270518       2063         2           
1682272318       2239         21          
1682274118       2557         40          
1682275918       2992         60          
1682277718       3209         79          
1682279518       3277         99          
1682281318       3349         119         
1682283118       3394         139         
1682284918       3452         158         
1682286718       3927         177         
1682288518       5615         189         
1682290318       6284         208         
1682292118       6288         227         
1682293918       6453         247         
1682295718       6506         267         
1682297518       6985         285         
1682299318       7265         305         
1682301118       7476         324         
1682302918       7708         342         
1682304718       7768         363         
1682306518       7797         383         
1682308318       7949         400         
1682310118       8003         420         
1682311918       8323         439         
1682313718       8419         458         
1682315518       8614         481         
1682317318       8654         500         
1682319118       8713         520         
1682320918       8740         540         
1682322718       8770         560         
1682324518       8810         582         
1682326318       8830         602         
1682328118       8863         621         
1682329918       9864         641         
1682331718       9885         661         
1682333518       9935         680         
1682335318       9972         706         
1682337118       10084        726         
1682338918       10449        744         
1682340718       10598        763         
1682342518       10753        782         
1682344318       10950        801         
1682346118       11105        820         
1682347918       11164        838         
1682349718       11224        856         
1682351518       11289        874         
1682353318       11364        893         
1682355118       11404        913         
1682356918       11415        932         
1682358718       11718        946         
1682360518       11748        964         
1682362318       11777        983         
1682364118       11844        1001        
1682365918       11923        1021        
1682367718       12037        1040        
1682369518       12087        1060        
1682371318       12175        1077        
1682373118       12211        1096        
1682374918       12385        1115        
1682376718       12471        1134        
1682378518       12516        1154        
1682380318       12537        1173        
1682382118       12570        1193        
1682383918       12932        1215        
1682385718       13113        1236        
1682387518       13352        1255        
1682389318       13489        1273        
1682391118       13898        1291        
1682392918       14023        1307        
1682394718       14128        1326        
1682396518       14217        1346        
1682398318       14949        1365        
1682400118       15147        1385        
1682401918       15359        1401        
1682403718       15475        1421        
1682405518       15647        1439        
1682407318       15736        1459        
1682409118       15796        1479        
1682410918       15950        1499        
1682412718       16032        1517        
1682414518       18376        1521        
1682416318       18645        1521        
1682418118       18712        1540        
1682419918       18794        1558        
1682421718       19031        1576        
1682423518       19304        1594        
1682425318       19445        1613        
1682427118       19494        1634        
1682428918       19716        1653        
1682430718       19759        1671        
1682432518       19812        1690        
1682434318       20639        1708        
1682436118       20710        1727        
1682437918       20899        1747        
1682439718       21297        1767        
1682441518       21400        1787        
1682443318       21483        1807        
1682445118       21521        1826        
1682446918       21550        1846        
1682448718       21608        1865        
1682450518       22156        1879        
1682452318       22238        1899        
1682454118       22367        1918        
1682455918       22392        1937        
1682457718       22516        1956        
1682459518       22934        1974        
1682461318       23006        1993        
1682463118       23328        2010        
1682464918       23377        2029        
1682466718       23406        2045        
1682468518       23450        2065        
1682470318       23513        2085        
1682472118       23578        2103        
1682473918       23627        2123        
