Time(s)          Coverage     AppNum      
1682270518       3646         2           
1682272318       4013         9           
1682274118       4170         28          
1682275918       4366         47          
1682277718       4989         65          
1682279518       5112         81          
1682281318       5186         101         
1682283118       5270         120         
1682284918       5444         140         
1682286718       5748         155         
1682288518       5922         173         
1682290318       7123         184         
1682292118       7875         206         
1682293918       8021         232         
1682295718       8177         250         
1682297518       8246         269         
1682299318       8666         284         
1682301118       8957         303         
1682302918       9201         320         
1682304718       9404         340         
1682306518       9540         360         
1682308318       9680         379         
1682310118       9941         396         
1682311918       9988         416         
1682313718       10143        436         
1682315518       10329        451         
1682317318       10457        475         
1682319118       10542        494         
1682320918       10608        512         
1682322718       10696        531         
1682324518       10726        550         
1682326318       10956        574         
1682328118       11105        588         
1682329918       11123        608         
1682331718       12142        627         
1682333518       12217        651         
1682335318       12249        671         
1682337118       12500        684         
1682338918       12537        712         
1682340718       12661        731         
1682342518       12958        749         
1682344318       13179        766         
1682346118       13516        778         
1682347918       13530        798         
1682349718       13849        817         
1682351518       13993        832         
1682353318       14475        848         
1682355118       14555        867         
1682356918       14633        885         
1682358718       14658        904         
1682360518       14674        923         
1682362318       14704        944         
1682364118       14878        958         
1682365918       14888        977         
1682367718       14953        995         
1682369518       15121        1010        
1682371318       15181        1030        
1682373118       15259        1049        
1682374918       15323        1068        
1682376718       15387        1086        
1682378518       15483        1107        
1682380318       15667        1127        
1682382118       15731        1146        
1682383918       15780        1166        
1682385718       15879        1183        
1682387518       16215        1201        
1682389318       16456        1219        
1682391118       16700        1237        
1682392918       16945        1250        
1682394718       17176        1267        
1682396518       17316        1281        
1682398318       17644        1295        
1682400118       17806        1314        
1682401918       17930        1334        
1682403718       18048        1353        
1682405518       18460        1372        
1682407318       18588        1387        
1682409118       18740        1405        
1682410918       18846        1425        
1682412718       18949        1445        
1682414518       19039        1463        
1682416318       19098        1483        
1682418118       19347        1500        
1682419918       21829        1506        
1682421718       22290        1506        
1682423518       22400        1506        
1682425318       22683        1521        
1682427118       22800        1539        
1682428918       22882        1558        
1682430718       23093        1574        
1682432518       23296        1588        
1682434318       23410        1602        
1682436118       23601        1621        
1682437918       23867        1636        
1682439718       24037        1647        
1682441518       24292        1666        
1682443318       24474        1687        
1682445118       25279        1706        
1682446918       25409        1726        
1682448718       25535        1745        
1682450518       25601        1763        
1682452318       25988        1782        
1682454118       26104        1802        
1682455918       26179        1818        
1682457718       26251        1839        
1682459518       26334        1858        
1682461318       26580        1875        
1682463118       26894        1893        
1682464918       26962        1913        
1682466718       27113        1931        
1682468518       27211        1952        
1682470318       27463        1971        
1682472118       27534        1989        
1682473918       27846        2008        
