Time(s)          Coverage     AppNum      
1682270524       3575         2           
1682272324       4007         12          
1682274124       4167         30          
1682275924       4410         50          
1682277724       4991         69          
1682279524       5108         88          
1682281324       5196         107         
1682283124       5270         127         
1682284924       5519         146         
1682286724       5627         160         
1682288524       5919         179         
1682290324       7270         192         
1682292124       7796         212         
1682293924       7978         238         
1682295724       8062         257         
1682297524       8519         275         
1682299324       8577         291         
1682301124       8833         310         
1682302924       9064         325         
1682304724       9267         345         
1682306524       9409         365         
1682308324       9547         383         
1682310124       9801         400         
1682311924       9881         420         
1682313724       10029        439         
1682315524       10207        454         
1682317324       10344        476         
1682319124       10429        495         
1682320924       10567        511         
1682322724       10657        530         
1682324524       10687        549         
1682326324       10931        574         
1682328124       11142        586         
1682329924       11160        605         
1682331724       12268        624         
1682333524       12353        649         
1682335324       12384        669         
1682337124       12629        683         
1682338924       12684        711         
1682340724       12802        730         
1682342524       13100        747         
1682344324       13322        765         
1682346124       13595        780         
1682347924       13626        799         
1682349724       13945        818         
1682351524       14104        834         
1682353324       14573        850         
1682355124       14651        869         
1682356924       14729        887         
1682358724       14755        905         
1682360524       14770        924         
1682362324       14862        946         
1682364124       15003        958         
1682365924       15016        976         
1682367724       15079        995         
1682369524       15246        1011        
1682371324       15307        1029        
1682373124       15385        1049        
1682374924       15445        1067        
1682376724       15507        1085        
1682378524       15604        1104        
1682380324       15738        1122        
1682382124       15860        1141        
1682383924       15920        1160        
1682385724       15945        1179        
1682387524       16066        1194        
1682389324       16484        1212        
1682391124       16793        1227        
1682392924       16932        1249        
1682394724       17247        1263        
1682396524       17365        1277        
1682398324       17676        1295        
1682400124       17833        1313        
1682401924       17981        1331        
1682403724       18027        1350        
1682405524       18341        1369        
1682407324       18662        1384        
1682409124       18805        1400        
1682410924       18937        1420        
1682412724       19038        1439        
1682414524       19127        1459        
1682416324       19181        1478        
1682418124       19234        1496        
1682419924       21802        1506        
1682421724       22297        1506        
1682423524       22467        1506        
1682425324       22648        1517        
1682427124       22885        1530        
1682428924       22970        1548        
1682430724       23038        1565        
1682432524       23348        1583        
1682434324       23456        1598        
1682436124       23884        1617        
1682437924       24079        1633        
1682439724       24308        1648        
1682441524       24552        1666        
1682443324       24756        1687        
1682445124       25392        1704        
1682446924       25466        1722        
1682448724       25625        1740        
1682450524       25667        1759        
1682452324       26079        1776        
1682454124       26197        1796        
1682455924       26265        1813        
1682457724       26343        1833        
1682459524       26393        1852        
1682461324       26508        1866        
1682463124       26908        1886        
1682464924       26960        1905        
1682466724       27111        1923        
1682468524       27143        1944        
1682470324       27396        1963        
1682472124       27512        1980        
1682473924       27560        1998        
